"Plot Title: QANASIASSAT_UTC_2021"
"#","Date Time, GMT-02:00","Temp, °C (LGR S/N: 20362477, SEN S/N: 20362477)","Event, units (LGR S/N: 20362477, SEN S/N: 20362477, LBL: rain)"
106,08/25/2021 06.00.00 AM,5.347,
107,08/25/2021 07.00.00 AM,5.347,
108,08/25/2021 08.00.00 AM,5.757,
109,08/25/2021 09.00.00 AM,7.983,
110,08/25/2021 10.00.00 AM,9.768,
111,08/25/2021 11.00.00 AM,9.571,
112,08/25/2021 12.00.00 PM,10.944,
113,08/25/2021 01.00.00 PM,12.207,
114,08/25/2021 02.00.00 PM,11.916,
115,08/25/2021 03.00.00 PM,13.076,
116,08/25/2021 04.00.00 PM,13.173,
117,08/25/2021 05.00.00 PM,13.173,
118,08/25/2021 06.00.00 PM,12.110,
119,08/25/2021 07.00.00 PM,10.846,
120,08/25/2021 08.00.00 PM,9.866,
121,08/25/2021 09.00.00 PM,8.879,
122,08/25/2021 10.00.00 PM,8.581,
123,08/25/2021 11.00.00 PM,7.782,
124,08/26/2021 12.00.00 AM,7.179,
125,08/26/2021 01.00.00 AM,6.877,
126,08/26/2021 02.00.00 AM,7.280,
127,08/26/2021 03.00.00 AM,7.682,
128,08/26/2021 04.00.00 AM,7.079,
129,08/26/2021 05.00.00 AM,6.573,
130,08/26/2021 06.00.00 AM,6.268,
131,08/26/2021 07.00.00 AM,7.079,
132,08/26/2021 08.00.00 AM,7.983,
133,08/26/2021 09.00.00 AM,7.582,
134,08/26/2021 10.00.00 AM,8.978,
135,08/26/2021 11.00.00 AM,9.571,
136,08/26/2021 12.00.00 PM,11.819,
137,08/26/2021 01.00.00 PM,12.304,
138,08/26/2021 02.00.00 PM,12.110,
139,08/26/2021 03.00.00 PM,14.038,
140,08/26/2021 04.00.00 PM,13.942,
141,08/26/2021 05.00.00 PM,17.189,
142,08/26/2021 06.00.00 PM,15.378,
143,08/26/2021 07.00.00 PM,14.230,
144,08/26/2021 08.00.00 PM,10.357,
145,08/26/2021 09.00.00 PM,10.063,
146,08/26/2021 10.00.00 PM,8.978,
147,08/26/2021 11.00.00 PM,7.782,
148,08/27/2021 12.00.00 AM,8.779,
149,08/27/2021 01.00.00 AM,8.382,
150,08/27/2021 02.00.00 AM,7.983,
151,08/27/2021 03.00.00 AM,7.782,
152,08/27/2021 04.00.00 AM,7.481,
153,08/27/2021 05.00.00 AM,7.280,
154,08/27/2021 06.00.00 AM,7.079,
155,08/27/2021 07.00.00 AM,7.280,
156,08/27/2021 08.00.00 AM,7.381,
157,08/27/2021 09.00.00 AM,7.682,
158,08/27/2021 10.00.00 AM,7.179,
159,08/27/2021 11.00.00 AM,7.782,
160,08/27/2021 12.00.00 PM,8.082,
161,08/27/2021 01.00.00 PM,8.382,
162,08/27/2021 02.00.00 PM,10.161,
163,08/27/2021 03.00.00 PM,11.625,
164,08/27/2021 04.00.00 PM,12.304,
165,08/27/2021 05.00.00 PM,11.916,
166,08/27/2021 06.00.00 PM,11.819,
167,08/27/2021 07.00.00 PM,10.357,
168,08/27/2021 08.00.00 PM,9.373,
169,08/27/2021 09.00.00 PM,7.381,
170,08/27/2021 10.00.00 PM,5.860,
171,08/27/2021 11.00.00 PM,4.934,
172,08/28/2021 12.00.00 AM,4.102,
173,08/28/2021 01.00.00 AM,3.788,
174,08/28/2021 02.00.00 AM,4.207,
175,08/28/2021 03.00.00 AM,4.519,
176,08/28/2021 04.00.00 AM,4.934,
177,08/28/2021 05.00.00 AM,5.347,
178,08/28/2021 06.00.00 AM,4.623,
179,08/28/2021 07.00.00 AM,4.623,
180,08/28/2021 08.00.00 AM,5.450,
181,08/28/2021 09.00.00 AM,5.552,
182,08/28/2021 10.00.00 AM,6.775,
183,08/28/2021 11.00.00 AM,7.481,
184,08/28/2021 12.00.00 PM,8.182,
185,08/28/2021 01.00.00 PM,9.669,
186,08/28/2021 02.00.00 PM,9.373,
187,08/28/2021 03.00.00 PM,11.431,
188,08/28/2021 04.00.00 PM,11.041,
189,08/28/2021 05.00.00 PM,11.041,
190,08/28/2021 06.00.00 PM,11.722,
191,08/28/2021 07.00.00 PM,10.944,
192,08/28/2021 08.00.00 PM,7.280,
193,08/28/2021 09.00.00 PM,5.655,
194,08/28/2021 10.00.00 PM,4.934,
195,08/28/2021 11.00.00 PM,4.207,
196,08/29/2021 12.00.00 AM,3.683,
197,08/29/2021 01.00.00 AM,3.578,
198,08/29/2021 02.00.00 AM,2.943,
199,08/29/2021 03.00.00 AM,2.517,
200,08/29/2021 04.00.00 AM,2.730,
201,08/29/2021 05.00.00 AM,2.195,
202,08/29/2021 06.00.00 AM,1.872,
203,08/29/2021 07.00.00 AM,2.303,
204,08/29/2021 08.00.00 AM,3.049,
205,08/29/2021 09.00.00 AM,4.727,
206,08/29/2021 10.00.00 AM,5.450,
207,08/29/2021 11.00.00 AM,7.179,
208,08/29/2021 12.00.00 PM,8.481,
209,08/29/2021 01.00.00 PM,10.846,
210,08/29/2021 02.00.00 PM,11.819,
211,08/29/2021 03.00.00 PM,13.461,
212,08/29/2021 04.00.00 PM,12.690,
213,08/29/2021 05.00.00 PM,11.916,
214,08/29/2021 06.00.00 PM,13.365,
215,08/29/2021 07.00.00 PM,12.110,
216,08/29/2021 08.00.00 PM,8.182,
217,08/29/2021 09.00.00 PM,6.573,
218,08/29/2021 10.00.00 PM,5.655,
219,08/29/2021 11.00.00 PM,5.141,
220,08/30/2021 12.00.00 AM,4.311,
221,08/30/2021 01.00.00 AM,3.893,
222,08/30/2021 02.00.00 AM,3.683,
223,08/30/2021 03.00.00 AM,3.367,
224,08/30/2021 04.00.00 AM,3.155,
225,08/30/2021 05.00.00 AM,3.049,
226,08/30/2021 06.00.00 AM,2.943,
227,08/30/2021 07.00.00 AM,2.943,
228,08/30/2021 08.00.00 AM,3.578,
229,08/30/2021 09.00.00 AM,5.141,
230,08/30/2021 10.00.00 AM,6.775,
231,08/30/2021 11.00.00 AM,9.866,
232,08/30/2021 12.00.00 PM,9.077,
233,08/30/2021 01.00.00 PM,9.176,
234,08/30/2021 02.00.00 PM,10.455,
235,08/30/2021 03.00.00 PM,11.139,
236,08/30/2021 04.00.00 PM,12.013,
237,08/30/2021 05.00.00 PM,11.334,
238,08/30/2021 06.00.00 PM,11.528,
239,08/30/2021 07.00.00 PM,9.965,
240,08/30/2021 08.00.00 PM,9.077,
241,08/30/2021 09.00.00 PM,8.082,
242,08/30/2021 10.00.00 PM,7.882,
243,08/30/2021 11.00.00 PM,7.481,
244,08/31/2021 12.00.00 AM,7.582,
245,08/31/2021 01.00.00 AM,7.782,
246,08/31/2021 02.00.00 AM,7.782,
247,08/31/2021 03.00.00 AM,7.782,
248,08/31/2021 04.00.00 AM,7.381,
249,08/31/2021 05.00.00 AM,6.978,
250,08/31/2021 05.56.26 AM,,1.00
251,08/31/2021 06.00.00 AM,6.978,
252,08/31/2021 06.16.51 AM,,2.00
253,08/31/2021 06.27.06 AM,,3.00
254,08/31/2021 06.33.33 AM,,4.00
255,08/31/2021 06.40.54 AM,,5.00
256,08/31/2021 06.51.34 AM,,6.00
257,08/31/2021 07.00.00 AM,7.079,
258,08/31/2021 07.01.04 AM,,7.00
259,08/31/2021 07.06.18 AM,,8.00
260,08/31/2021 07.11.56 AM,,9.00
261,08/31/2021 07.18.57 AM,,10.00
262,08/31/2021 07.22.12 AM,,11.00
263,08/31/2021 07.28.37 AM,,12.00
264,08/31/2021 07.52.54 AM,,13.00
265,08/31/2021 08.00.00 AM,7.481,
266,08/31/2021 08.43.31 AM,,14.00
267,08/31/2021 08.59.15 AM,,15.00
268,08/31/2021 09.00.00 AM,8.082,
269,08/31/2021 09.35.12 AM,,16.00
270,08/31/2021 09.57.46 AM,,17.00
271,08/31/2021 10.00.00 AM,8.382,
272,08/31/2021 10.12.15 AM,,18.00
273,08/31/2021 10.26.13 AM,,19.00
274,08/31/2021 10.45.00 AM,,20.00
275,08/31/2021 10.55.04 AM,,21.00
276,08/31/2021 11.00.00 AM,8.680,
277,08/31/2021 11.04.43 AM,,22.00
278,08/31/2021 11.15.05 AM,,23.00
279,08/31/2021 11.31.22 AM,,24.00
280,08/31/2021 11.39.10 AM,,25.00
281,08/31/2021 11.47.01 AM,,26.00
282,08/31/2021 11.54.16 AM,,27.00
283,08/31/2021 12.00.00 PM,7.682,
284,08/31/2021 12.07.47 PM,,28.00
285,08/31/2021 12.35.41 PM,,29.00
286,08/31/2021 12.58.38 PM,,30.00
287,08/31/2021 01.00.00 PM,8.779,
288,08/31/2021 01.55.49 PM,,31.00
289,08/31/2021 02.00.00 PM,9.965,
290,08/31/2021 03.00.00 PM,10.161,
291,08/31/2021 03.04.31 PM,,32.00
292,08/31/2021 04.00.00 PM,10.651,
293,08/31/2021 04.22.59 PM,,33.00
294,08/31/2021 04.54.22 PM,,34.00
295,08/31/2021 05.00.00 PM,9.866,
296,08/31/2021 05.07.11 PM,,35.00
297,08/31/2021 05.20.58 PM,,36.00
298,08/31/2021 05.40.02 PM,,37.00
299,08/31/2021 06.00.00 PM,9.866,
300,08/31/2021 06.05.06 PM,,38.00
301,08/31/2021 06.42.33 PM,,39.00
302,08/31/2021 07.00.00 PM,9.866,
303,08/31/2021 08.00.00 PM,9.866,
304,08/31/2021 08.17.48 PM,,40.00
305,08/31/2021 08.26.59 PM,,41.00
306,08/31/2021 08.43.01 PM,,42.00
307,08/31/2021 08.57.57 PM,,43.00
308,08/31/2021 09.00.00 PM,9.768,
309,08/31/2021 09.05.15 PM,,44.00
310,08/31/2021 09.11.50 PM,,45.00
311,08/31/2021 09.36.03 PM,,46.00
312,08/31/2021 10.00.00 PM,10.846,
313,08/31/2021 10.34.23 PM,,47.00
314,08/31/2021 11.00.00 PM,9.965,
315,08/31/2021 11.10.32 PM,,48.00
316,09/01/2021 12.00.00 AM,10.357,
317,09/01/2021 12.07.07 AM,,49.00
318,09/01/2021 12.29.03 AM,,50.00
319,09/01/2021 12.42.42 AM,,51.00
320,09/01/2021 01.00.00 AM,10.748,
321,09/01/2021 01.04.17 AM,,52.00
322,09/01/2021 01.18.45 AM,,53.00
323,09/01/2021 01.31.14 AM,,54.00
324,09/01/2021 01.50.49 AM,,55.00
325,09/01/2021 02.00.00 AM,9.275,
326,09/01/2021 03.00.00 AM,10.063,
327,09/01/2021 03.09.29 AM,,56.00
328,09/01/2021 03.28.36 AM,,57.00
329,09/01/2021 04.00.00 AM,9.768,
330,09/01/2021 05.00.00 AM,11.334,
331,09/01/2021 05.03.32 AM,,58.00
332,09/01/2021 05.20.47 AM,,59.00
333,09/01/2021 05.24.36 AM,,60.00
334,09/01/2021 05.34.43 AM,,61.00
335,09/01/2021 06.00.00 AM,11.236,
336,09/01/2021 07.00.00 AM,11.722,
337,09/01/2021 08.00.00 AM,14.421,
338,09/01/2021 09.00.00 AM,16.427,
339,09/01/2021 10.00.00 AM,17.570,
340,09/01/2021 11.00.00 AM,19.472,
341,09/01/2021 12.00.00 PM,21.187,
342,09/01/2021 01.00.00 PM,22.812,
343,09/01/2021 02.00.00 PM,22.429,
344,09/01/2021 03.00.00 PM,22.333,
345,09/01/2021 04.00.00 PM,22.621,
346,09/01/2021 05.00.00 PM,21.760,
347,09/01/2021 06.00.00 PM,19.377,
348,09/01/2021 07.00.00 PM,15.187,
349,09/01/2021 08.00.00 PM,14.517,
350,09/01/2021 09.00.00 PM,12.594,
351,09/01/2021 09.02.37 PM,,62.00
352,09/01/2021 10.00.00 PM,11.528,
353,09/01/2021 10.20.30 PM,,63.00
354,09/01/2021 10.42.29 PM,,64.00
355,09/01/2021 11.00.00 PM,11.139,
356,09/02/2021 12.00.00 AM,10.357,
357,09/02/2021 12.02.02 AM,,65.00
358,09/02/2021 01.00.00 AM,10.063,
359,09/02/2021 01.16.57 AM,,66.00
360,09/02/2021 01.50.10 AM,,67.00
361,09/02/2021 02.00.00 AM,8.680,
362,09/02/2021 02.36.54 AM,,68.00
363,09/02/2021 03.00.00 AM,8.879,
364,09/02/2021 04.00.00 AM,8.978,
365,09/02/2021 04.00.51 AM,,69.00
366,09/02/2021 05.00.00 AM,8.879,
367,09/02/2021 06.00.00 AM,8.879,
368,09/02/2021 07.00.00 AM,8.680,
369,09/02/2021 08.00.00 AM,8.680,
370,09/02/2021 09.00.00 AM,8.978,
371,09/02/2021 10.00.00 AM,10.748,
372,09/02/2021 11.00.00 AM,10.651,
373,09/02/2021 12.00.00 PM,11.236,
374,09/02/2021 01.00.00 PM,11.625,
375,09/02/2021 02.00.00 PM,11.722,
376,09/02/2021 03.00.00 PM,11.722,
377,09/02/2021 04.00.00 PM,12.401,
378,09/02/2021 05.00.00 PM,13.654,
379,09/02/2021 06.00.00 PM,11.334,
380,09/02/2021 07.00.00 PM,10.063,
381,09/02/2021 08.00.00 PM,10.357,
382,09/02/2021 09.00.00 PM,10.161,
383,09/02/2021 10.00.00 PM,9.275,
384,09/02/2021 11.00.00 PM,8.978,
385,09/02/2021 11.46.16 PM,,70.00
386,09/03/2021 12.00.00 AM,8.779,
387,09/03/2021 12.03.10 AM,,71.00
388,09/03/2021 12.22.30 AM,,72.00
389,09/03/2021 12.30.10 AM,,73.00
390,09/03/2021 12.36.50 AM,,74.00
391,09/03/2021 12.43.04 AM,,75.00
392,09/03/2021 12.49.29 AM,,76.00
393,09/03/2021 12.54.26 AM,,77.00
394,09/03/2021 12.59.57 AM,,78.00
395,09/03/2021 01.00.00 AM,8.481,
396,09/03/2021 01.06.41 AM,,79.00
397,09/03/2021 01.15.52 AM,,80.00
398,09/03/2021 01.27.57 AM,,81.00
399,09/03/2021 01.41.21 AM,,82.00
400,09/03/2021 01.51.09 AM,,83.00
401,09/03/2021 02.00.00 AM,7.882,
402,09/03/2021 02.01.37 AM,,84.00
403,09/03/2021 02.20.31 AM,,85.00
404,09/03/2021 03.00.00 AM,7.682,
405,09/03/2021 03.02.48 AM,,86.00
406,09/03/2021 03.18.19 AM,,87.00
407,09/03/2021 03.44.39 AM,,88.00
408,09/03/2021 04.00.00 AM,7.481,
409,09/03/2021 04.03.12 AM,,89.00
410,09/03/2021 04.14.35 AM,,90.00
411,09/03/2021 04.28.24 AM,,91.00
412,09/03/2021 04.45.56 AM,,92.00
413,09/03/2021 05.00.00 AM,7.782,
414,09/03/2021 05.05.48 AM,,93.00
415,09/03/2021 05.15.39 AM,,94.00
416,09/03/2021 05.29.03 AM,,95.00
417,09/03/2021 05.43.06 AM,,96.00
418,09/03/2021 05.51.44 AM,,97.00
419,09/03/2021 06.00.00 AM,7.682,
420,09/03/2021 06.02.57 AM,,98.00
421,09/03/2021 06.23.07 AM,,99.00
422,09/03/2021 06.42.00 AM,,100.00
423,09/03/2021 06.57.56 AM,,101.00
424,09/03/2021 07.00.00 AM,7.582,
425,09/03/2021 07.13.21 AM,,102.00
426,09/03/2021 07.26.35 AM,,103.00
427,09/03/2021 07.48.01 AM,,104.00
428,09/03/2021 08.00.00 AM,7.079,
429,09/03/2021 08.15.30 AM,,105.00
430,09/03/2021 08.50.19 AM,,106.00
431,09/03/2021 09.00.00 AM,7.079,
432,09/03/2021 09.22.45 AM,,107.00
433,09/03/2021 10.00.00 AM,7.079,
434,09/03/2021 10.03.34 AM,,108.00
435,09/03/2021 11.00.00 AM,8.082,
436,09/03/2021 12.00.00 PM,7.983,
437,09/03/2021 01.00.00 PM,8.382,
438,09/03/2021 02.00.00 PM,8.282,
439,09/03/2021 03.00.00 PM,8.879,
440,09/03/2021 04.00.00 PM,8.581,
441,09/03/2021 05.00.00 PM,8.282,
442,09/03/2021 06.00.00 PM,7.179,
443,09/03/2021 07.00.00 PM,7.582,
444,09/03/2021 08.00.00 PM,7.381,
445,09/03/2021 09.00.00 PM,7.079,
446,09/03/2021 10.00.00 PM,7.179,
447,09/03/2021 11.00.00 PM,7.079,
448,09/04/2021 12.00.00 AM,6.877,
449,09/04/2021 01.00.00 AM,6.877,
450,09/04/2021 02.00.00 AM,6.370,
451,09/04/2021 03.00.00 AM,6.268,
452,09/04/2021 04.00.00 AM,6.064,
453,09/04/2021 05.00.00 AM,5.860,
454,09/04/2021 06.00.00 AM,6.064,
455,09/04/2021 07.00.00 AM,6.166,
456,09/04/2021 08.00.00 AM,6.674,
457,09/04/2021 09.00.00 AM,7.079,
458,09/04/2021 10.00.00 AM,7.481,
459,09/04/2021 11.00.00 AM,7.882,
460,09/04/2021 12.00.00 PM,9.472,
461,09/04/2021 01.00.00 PM,10.553,
462,09/04/2021 01.19.28 PM,,109.00
463,09/04/2021 02.00.00 PM,11.528,
464,09/04/2021 03.00.00 PM,12.401,
465,09/04/2021 04.00.00 PM,11.722,
466,09/04/2021 05.00.00 PM,12.883,
467,09/04/2021 06.00.00 PM,12.304,
468,09/04/2021 07.00.00 PM,10.357,
469,09/04/2021 08.00.00 PM,6.978,
470,09/04/2021 09.00.00 PM,5.962,
471,09/04/2021 10.00.00 PM,5.655,
472,09/04/2021 11.00.00 PM,4.727,
473,09/05/2021 12.00.00 AM,4.102,
474,09/05/2021 01.00.00 AM,3.578,
475,09/05/2021 02.00.00 AM,2.837,
476,09/05/2021 03.00.00 AM,2.624,
477,09/05/2021 04.00.00 AM,1.980,
478,09/05/2021 05.00.00 AM,2.195,
479,09/05/2021 06.00.00 AM,2.410,
480,09/05/2021 07.00.00 AM,2.517,
481,09/05/2021 08.00.00 AM,2.517,
482,09/05/2021 09.00.00 AM,3.155,
483,09/05/2021 10.00.00 AM,4.623,
484,09/05/2021 11.00.00 AM,8.282,
485,09/05/2021 12.00.00 PM,9.669,
486,09/05/2021 01.00.00 PM,9.571,
487,09/05/2021 02.00.00 PM,11.916,
488,09/05/2021 03.00.00 PM,13.558,
489,09/05/2021 04.00.00 PM,11.722,
490,09/05/2021 05.00.00 PM,12.013,
491,09/05/2021 06.00.00 PM,12.110,
492,09/05/2021 07.00.00 PM,9.571,
493,09/05/2021 08.00.00 PM,6.166,
494,09/05/2021 09.00.00 PM,4.623,
495,09/05/2021 10.00.00 PM,4.102,
496,09/05/2021 11.00.00 PM,3.578,
497,09/06/2021 12.00.00 AM,3.155,
498,09/06/2021 01.00.00 AM,2.943,
499,09/06/2021 02.00.00 AM,2.410,
500,09/06/2021 03.00.00 AM,1.980,
501,09/06/2021 04.00.00 AM,1.548,
502,09/06/2021 05.00.00 AM,1.003,
503,09/06/2021 06.00.00 AM,0.563,
504,09/06/2021 07.00.00 AM,0.674,
505,09/06/2021 08.00.00 AM,1.003,
506,09/06/2021 09.00.00 AM,2.195,
507,09/06/2021 10.00.00 AM,3.998,
508,09/06/2021 11.00.00 AM,8.182,
509,09/06/2021 12.00.00 PM,9.472,
510,09/06/2021 01.00.00 PM,11.334,
511,09/06/2021 02.00.00 PM,12.690,
512,09/06/2021 03.00.00 PM,14.038,
513,09/06/2021 04.00.00 PM,13.461,
514,09/06/2021 05.00.00 PM,13.461,
515,09/06/2021 06.00.00 PM,13.076,
516,09/06/2021 07.00.00 PM,9.669,
517,09/06/2021 08.00.00 PM,6.573,
518,09/06/2021 09.00.00 PM,4.934,
519,09/06/2021 10.00.00 PM,3.998,
520,09/06/2021 11.00.00 PM,3.367,
521,09/07/2021 12.00.00 AM,3.261,
522,09/07/2021 01.00.00 AM,3.155,
523,09/07/2021 02.00.00 AM,2.837,
524,09/07/2021 03.00.00 AM,2.410,
525,09/07/2021 04.00.00 AM,2.624,
526,09/07/2021 05.00.00 AM,2.303,
527,09/07/2021 06.00.00 AM,1.656,
528,09/07/2021 07.00.00 AM,1.439,
529,09/07/2021 08.00.00 AM,1.980,
530,09/07/2021 09.00.00 AM,2.837,
531,09/07/2021 10.00.00 AM,4.311,
532,09/07/2021 11.00.00 AM,7.882,
533,09/07/2021 12.00.00 PM,8.382,
534,09/07/2021 01.00.00 PM,11.431,
535,09/07/2021 02.00.00 PM,11.722,
536,09/07/2021 03.00.00 PM,12.304,
537,09/07/2021 04.00.00 PM,11.916,
538,09/07/2021 05.00.00 PM,11.334,
539,09/07/2021 06.00.00 PM,11.236,
540,09/07/2021 07.00.00 PM,9.077,
541,09/07/2021 08.00.00 PM,6.978,
542,09/07/2021 09.00.00 PM,5.757,
543,09/07/2021 10.00.00 PM,5.552,
544,09/07/2021 11.00.00 PM,5.347,
545,09/08/2021 12.00.00 AM,5.552,
546,09/08/2021 01.00.00 AM,6.064,
547,09/08/2021 02.00.00 AM,5.450,
548,09/08/2021 03.00.00 AM,4.934,
549,09/08/2021 04.00.00 AM,4.311,
550,09/08/2021 05.00.00 AM,4.207,
551,09/08/2021 06.00.00 AM,4.102,
552,09/08/2021 07.00.00 AM,3.998,
553,09/08/2021 08.00.00 AM,5.347,
554,09/08/2021 09.00.00 AM,7.381,
555,09/08/2021 10.00.00 AM,8.182,
556,09/08/2021 11.00.00 AM,9.768,
557,09/08/2021 12.00.00 PM,9.373,
558,09/08/2021 01.00.00 PM,9.472,
559,09/08/2021 02.00.00 PM,9.965,
560,09/08/2021 03.00.00 PM,10.063,
561,09/08/2021 04.00.00 PM,11.528,
562,09/08/2021 05.00.00 PM,11.431,
563,09/08/2021 06.00.00 PM,11.041,
564,09/08/2021 07.00.00 PM,8.978,
565,09/08/2021 08.00.00 PM,6.370,
566,09/08/2021 09.00.00 PM,5.244,
567,09/08/2021 10.00.00 PM,4.415,
568,09/08/2021 11.00.00 PM,3.893,
569,09/09/2021 12.00.00 AM,3.472,
570,09/09/2021 01.00.00 AM,3.049,
571,09/09/2021 02.00.00 AM,2.837,
572,09/09/2021 03.00.00 AM,2.624,
573,09/09/2021 04.00.00 AM,3.049,
574,09/09/2021 05.00.00 AM,3.998,
575,09/09/2021 06.00.00 AM,4.934,
576,09/09/2021 07.00.00 AM,5.244,
577,09/09/2021 08.00.00 AM,6.370,
578,09/09/2021 09.00.00 AM,6.775,
579,09/09/2021 10.00.00 AM,8.182,
580,09/09/2021 11.00.00 AM,8.779,
581,09/09/2021 12.00.00 PM,9.176,
582,09/09/2021 01.00.00 PM,9.866,
583,09/09/2021 02.00.00 PM,10.259,
584,09/09/2021 03.00.00 PM,12.207,
585,09/09/2021 04.00.00 PM,9.077,
586,09/09/2021 05.00.00 PM,10.553,
587,09/09/2021 06.00.00 PM,9.965,
588,09/09/2021 07.00.00 PM,8.879,
589,09/09/2021 08.00.00 PM,7.782,
590,09/09/2021 09.00.00 PM,7.381,
591,09/09/2021 10.00.00 PM,7.481,
592,09/09/2021 11.00.00 PM,7.582,
593,09/10/2021 12.00.00 AM,7.381,
594,09/10/2021 01.00.00 AM,7.179,
595,09/10/2021 02.00.00 AM,6.978,
596,09/10/2021 03.00.00 AM,6.877,
597,09/10/2021 04.00.00 AM,6.775,
598,09/10/2021 05.00.00 AM,6.674,
599,09/10/2021 06.00.00 AM,6.573,
